"mjage","cigever","alcever","AGE2","sexatract","speakengl","irsex"
21,1,1,15,1,1,1
20,1,1,14,1,1,1
14,1,1,16,1,1,1
17,2,1,8,1,1,2
11,1,1,13,2,1,2
18,1,2,14,1,1,1
12,1,1,15,2,1,2
16,1,1,14,1,1,1
14,1,1,16,4,1,1
15,1,1,11,5,1,1
28,1,1,14,1,1,2
12,1,1,15,4,1,2
13,1,1,13,1,1,1
20,1,1,14,1,1,1
33,1,1,14,1,1,2
20,1,1,16,1,1,1
26,1,1,13,1,1,1
18,2,1,13,1,1,2
18,1,1,17,1,1,2
36,1,1,15,2,1,2
15,1,1,15,1,1,1
17,1,1,13,5,1,1
14,1,1,15,1,1,2
13,1,1,16,1,1,1
14,2,1,5,99,1,2
15,1,1,15,1,1,2
17,2,1,6,99,1,1
18,1,1,15,1,1,1
18,2,1,9,1,1,2
16,1,1,14,1,1,1
19,1,1,15,2,1,1
17,1,1,7,98,98,1
19,2,1,15,1,1,2
17,1,1,15,1,1,2
16,2,1,6,99,1,2
21,1,1,17,1,1,1
20,2,1,11,1,1,1
12,1,1,15,1,1,2
8,1,1,6,99,1,1
14,1,1,15,1,1,2
18,1,1,15,1,1,2
16,1,1,9,1,1,1
18,1,1,15,1,1,1
16,1,1,13,97,97,2
19,2,1,15,1,1,2
18,1,1,13,1,1,2
16,2,1,5,99,1,1
14,2,1,12,97,2,2
34,2,1,15,1,1,2
14,1,1,12,1,1,1
16,1,1,14,1,1,2
18,1,1,12,1,1,1
18,1,1,12,1,1,1
18,2,1,12,1,1,2
20,1,1,15,1,1,1
15,1,1,16,5,1,1
24,2,1,15,1,1,1
16,1,1,8,1,1,2
14,1,1,15,3,1,2
16,1,1,15,1,1,1
15,1,1,16,1,1,1
17,2,1,7,1,1,1
12,1,1,11,5,1,2
16,1,1,11,1,1,1
11,2,2,1,99,1,2
16,1,1,15,2,1,2
18,2,1,7,1,1,2
16,2,1,12,1,1,2
14,1,1,13,2,1,2
16,2,1,15,2,1,2
11,2,1,1,99,1,1
19,1,1,15,1,1,2
16,1,1,14,1,1,1
20,1,1,15,1,1,1
10,1,1,14,1,1,1
16,1,1,15,1,2,1
23,1,1,13,2,2,2
22,1,1,15,1,1,2
12,2,1,11,1,1,1
17,1,1,15,1,1,2
22,1,1,11,1,1,1
9,1,1,4,99,1,1
18,2,1,12,3,1,1
12,1,1,16,1,1,1
23,2,1,17,2,1,2
15,1,1,16,1,2,1
17,2,1,16,1,1,1
20,1,1,13,1,3,2
16,1,1,15,1,1,1
23,1,1,15,1,1,2
18,2,1,9,3,1,2
17,2,1,6,99,1,1
16,1,1,13,1,1,1
12,1,1,6,99,1,2
18,1,1,8,1,1,2
16,2,1,7,1,1,2
15,1,1,15,1,1,1
14,2,1,12,1,2,1
15,1,1,15,1,1,1
16,1,1,12,1,1,2
20,2,1,9,1,1,2
18,1,1,15,2,1,2
15,2,1,6,99,1,1
20,2,1,11,1,1,2
13,1,1,6,99,1,1
19,2,1,15,1,1,2
20,1,1,15,1,3,2
18,1,1,15,1,1,2
16,1,1,14,1,1,2
18,1,1,15,1,1,2
15,1,1,17,2,1,1
10,1,1,17,1,1,1
15,2,1,16,1,1,1
20,2,1,10,1,1,2
18,1,1,10,1,1,2
14,1,1,9,1,1,2
21,2,1,11,1,1,1
18,1,1,14,1,1,1
18,1,2,8,3,2,2
22,2,1,16,1,1,2
15,1,1,10,1,1,1
16,1,1,11,1,1,1
22,1,1,13,1,1,1
15,1,1,15,1,2,2
16,1,1,14,1,1,1
16,2,1,7,1,1,1
17,1,1,13,1,1,1
16,1,1,13,2,1,2
19,1,1,14,1,1,1
27,1,1,15,1,1,1
22,1,1,15,1,1,1
17,2,1,9,1,1,2
9,1,1,13,3,1,2
15,1,1,16,1,1,2
14,2,1,6,99,1,1
18,1,1,14,1,1,1
14,1,1,14,2,1,2
14,1,1,11,1,1,2
13,1,1,4,99,1,1
16,1,1,16,1,1,1
18,2,1,12,1,1,1
18,2,1,11,1,1,2
20,1,1,17,1,1,1
27,2,1,15,1,1,1
18,1,1,15,1,1,2
13,1,1,15,1,1,2
19,1,2,8,1,1,1
13,2,1,2,99,1,2
16,1,1,12,3,1,2
16,1,1,12,2,1,1
17,1,1,14,1,1,1
17,1,1,16,1,1,2
19,1,1,15,1,1,1
15,1,1,15,1,1,1
20,1,1,15,1,1,2
15,1,1,15,1,1,1
16,1,1,15,1,1,1
18,1,1,15,1,1,2
14,1,1,13,1,1,1
18,2,1,7,1,1,1
7,1,1,13,1,1,1
15,2,1,6,99,1,1
13,2,1,16,1,1,2
17,1,1,9,3,1,2
18,1,1,11,2,1,2
21,1,1,13,1,1,1
19,1,1,13,1,1,2
13,1,1,9,3,1,2
15,1,1,17,1,1,1
18,1,1,16,1,1,2
13,1,1,15,1,1,1
16,1,1,15,1,1,2
18,1,1,7,1,1,1
18,2,1,9,5,1,1
17,2,1,11,1,1,2
15,2,1,10,1,1,1
17,2,1,15,1,1,2
11,1,1,16,1,1,1
21,1,1,14,1,1,2
17,1,1,15,1,3,2
17,1,1,13,1,1,2
17,2,1,15,1,1,2
14,2,1,4,99,1,1
15,1,1,16,1,1,2
21,1,1,15,1,1,2
18,1,1,11,1,1,1
20,1,1,15,1,1,2
28,2,1,13,2,1,2
31,1,1,14,1,1,2
18,2,1,14,1,1,2
18,1,1,15,1,1,1
22,2,2,15,1,1,1
18,2,1,16,1,1,2
14,1,1,15,1,1,1
38,1,1,15,1,1,2
30,1,1,15,5,1,1
21,1,1,17,1,1,1
13,1,1,15,1,1,2
21,2,1,17,1,1,2
32,2,1,14,1,1,2
22,1,1,13,1,1,1
20,1,1,15,1,1,2
14,2,1,5,99,1,1
16,1,1,16,1,1,1
18,1,1,13,1,1,2
16,1,1,16,1,1,2
25,1,1,13,4,1,2
15,1,1,13,1,1,2
15,1,1,15,1,1,1
18,1,1,11,5,1,1
15,1,1,11,2,1,1
18,1,1,15,1,1,2
18,1,1,17,1,1,2
15,1,1,13,1,1,2
14,1,1,16,1,1,2
12,1,1,15,1,1,1
13,2,2,3,99,1,1
14,2,1,10,1,1,2
12,1,1,13,1,1,1
18,2,1,12,1,1,2
15,1,1,13,1,1,1
16,1,1,10,1,1,2
17,1,1,16,1,1,2
15,1,2,13,1,2,1
35,1,1,15,2,1,2
14,2,2,4,99,1,2
18,1,1,8,1,1,1
11,1,1,15,2,1,2
20,1,1,11,3,2,1
17,1,1,16,1,1,1
16,1,1,15,1,1,2
21,1,1,13,1,1,1
45,2,1,16,1,1,2
17,1,1,14,1,1,1
15,1,1,8,1,1,2
17,2,1,15,1,1,2
15,1,1,14,2,1,1
13,1,1,13,6,1,1
15,1,1,9,4,1,2
22,1,1,15,1,1,2
21,1,1,17,1,1,2
13,1,1,9,1,1,1
18,1,1,16,1,1,1
12,1,1,12,1,1,2
14,1,1,14,1,1,1
19,1,1,12,1,1,2
9,1,1,16,1,1,2
16,1,1,13,1,1,2
16,1,1,13,1,1,2
14,1,1,15,1,2,1
14,1,1,10,3,1,2
21,1,1,13,2,1,2
16,1,1,15,1,1,1
19,1,1,15,1,1,2
18,2,1,15,1,1,2
13,1,1,12,3,1,2
14,1,1,13,1,1,1
21,1,1,15,1,1,2
25,1,1,16,1,1,2
15,1,2,15,1,1,1
35,2,1,17,5,1,1
15,2,1,9,1,1,2
14,1,1,3,99,1,2
20,1,1,14,1,1,1
13,1,1,8,3,1,2
17,1,1,16,1,1,2
14,1,1,9,1,1,1
14,1,1,9,1,1,1
17,1,1,13,1,1,2
14,2,1,4,99,1,1
20,2,1,17,3,1,2
15,1,1,15,2,1,2
16,2,1,14,1,1,1
16,1,1,15,1,1,2
14,1,1,16,1,1,1
15,1,1,13,1,1,2
20,1,1,10,1,1,1
15,2,1,5,99,1,1
13,1,1,13,3,2,2
21,1,1,12,1,1,2
16,1,1,11,4,1,2
17,1,1,15,1,2,1
14,1,1,10,2,1,2
14,1,1,15,1,1,2
16,2,1,17,1,1,1
20,2,1,12,1,1,2
15,1,1,13,1,1,2
20,1,1,14,1,1,1
29,2,1,15,1,1,1
29,1,1,15,2,1,2
15,2,1,14,1,1,2
18,1,1,16,1,1,2
27,1,1,15,1,1,2
16,1,1,16,1,1,2
16,1,1,12,1,1,2
12,1,1,15,1,2,1
18,1,1,14,1,2,1
25,1,1,17,1,2,1
15,2,1,13,1,1,1
10,1,1,16,1,1,2
16,1,1,14,1,1,2
17,1,1,12,1,2,1
13,1,1,14,1,1,1
14,1,1,9,3,1,2
14,2,1,10,3,1,2
13,1,1,15,1,1,1
21,2,1,11,1,1,1
15,1,1,15,1,1,1
13,1,1,15,1,1,1
17,2,1,15,2,1,2
12,2,1,6,99,2,1
12,1,1,16,1,1,1
18,2,1,15,4,3,2
13,1,1,13,2,1,2
14,1,1,5,99,1,1
13,1,1,9,1,1,1
21,2,1,10,1,1,1
16,1,1,16,2,1,1
17,1,1,9,3,1,2
16,1,1,11,1,1,2
19,2,1,13,1,1,1
13,1,1,11,1,1,2
25,1,1,17,1,1,1
18,1,1,15,1,1,1
12,1,1,10,2,1,2
19,1,1,11,1,1,2
19,2,1,14,1,1,1
11,1,1,8,3,1,2
14,1,1,15,1,1,1
14,1,1,15,1,2,1
14,1,1,14,5,1,1
15,1,1,16,1,1,1
17,1,1,15,1,1,1
17,2,2,6,99,1,1
16,2,1,8,1,1,2
17,2,1,17,1,1,2
18,1,1,16,1,1,2
23,2,1,15,4,2,1
18,2,1,15,1,1,1
11,1,1,15,1,1,1
14,1,1,15,1,1,1
14,1,1,15,1,1,1
15,2,1,8,1,1,2
15,1,1,15,1,1,1
20,1,1,12,1,1,2
15,1,1,15,1,1,2
21,2,1,12,3,1,2
20,1,2,15,1,1,2
18,1,1,9,1,1,1
21,1,1,11,5,1,1
19,2,1,12,3,1,2
15,1,1,16,1,1,1
14,1,1,14,1,1,2
17,1,1,15,1,1,1
17,1,1,11,1,1,1
20,2,1,15,1,3,1
25,1,1,17,1,1,1
16,1,1,13,1,1,1
21,2,1,11,2,1,2
11,1,1,15,1,1,1
17,1,1,15,1,1,1
16,1,1,15,1,1,2
17,1,1,13,1,4,1
17,1,1,12,1,1,1
32,1,1,17,1,1,2
15,1,1,15,1,1,2
14,1,1,16,1,1,1
17,1,1,17,1,1,1
14,1,1,15,1,1,2
12,2,1,5,99,1,1
17,1,1,15,1,1,2
14,2,1,3,99,1,1
15,1,1,15,1,1,2
16,1,1,15,1,1,1
15,1,1,9,1,1,2
16,2,1,7,4,1,2
16,1,1,15,1,1,2
13,1,1,13,1,1,1
15,1,1,16,1,1,1
15,2,1,11,1,1,2
18,1,1,14,1,1,2
16,1,1,16,1,1,1
19,1,1,13,5,1,2
16,2,1,13,1,1,1
17,1,1,15,1,1,2
14,1,1,6,99,1,2
14,1,1,15,1,1,1
20,2,1,11,1,1,2
16,1,1,14,1,1,2
16,1,1,6,99,1,2
14,1,1,15,1,1,1
13,1,1,4,99,2,2
18,1,1,15,1,1,1
39,1,1,15,1,1,1
15,1,1,17,1,1,1
19,1,1,13,1,1,2
16,1,1,14,2,1,1
11,1,1,17,1,1,1
13,2,1,11,2,1,2
16,1,1,12,2,1,2
14,1,1,16,1,1,2
16,1,1,16,1,1,2
20,1,1,14,1,2,1
13,1,1,15,2,1,2
12,2,2,2,99,1,2
18,2,1,7,1,1,1
21,1,1,14,1,1,1
16,1,1,15,1,1,2
12,1,1,14,1,1,1
18,2,1,16,1,1,1
9,1,1,14,1,1,1
18,1,1,15,1,1,1
13,1,1,14,1,1,1
16,1,1,12,1,1,1
12,1,1,13,1,1,1
18,1,1,11,2,1,2
21,2,1,12,1,1,2
34,1,1,15,1,1,1
11,1,1,15,3,1,2
17,1,1,10,1,1,2
14,1,1,4,99,1,2
13,2,1,3,99,1,2
14,2,1,8,4,1,2
20,1,1,13,3,1,2
15,1,1,13,97,97,2
16,2,1,9,1,1,2
